3 9 14 23 26 34 36 39 40 52 55 59 63 67 76 85 86 90 93 99 108 114
4 9 15 23 27 34 36 39 41 52 55 59 63 67 76 85 86 90 93 99 108 115
3 9 16 24 28 34 37 39 40 53 54 59 63 67 76 85 86 90 94 99 109 114
3 10 14 23 26 34 36 39 41 52 55 59 63 67 76 85 86 90 93 98 108 114
4 9 15 23 26 34 36 39 42 52 55 59 63 67 76 85 86 90 93 98 108 115
4 10 15 23 27 34 36 39 41 52 55 59 63 67 76 85 86 90 93 99 107 115
4 9 14 23 26 34 36 39 42 52 55 59 63 67 76 85 86 90 93 98 107 115
3 10 14 23 27 34 36 39 42 52 55 59 63 67 76 85 86 90 93 99 108 114
3 10 14 23 26 34 36 39 41 52 55 59 63 67 76 85 86 90 93 98 107 115
4 9 14 23 26 34 36 39 44 52 55 59 63 67 76 85 86 90 93 99 107 114
3 11 13 24 28 34 37 39 41 53 54 59 64 67 76 85 86 90 94 98 109 114
5 11 16 24 28 34 36 38 40 52 54 59 63 67 76 85 86 90 93 99 111 113
6 11 15 24 28 34 37 39 40 53 54 59 63 67 76 85 86 90 94 99 109 114
4 9 14 23 26 34 36 39 40 52 55 59 63 67 76 85 86 90 93 99 107 115
